Ano;ID;RA;Fase;INDE 2022;Pedra 2022;Turma;Nome;Ano nasc;Idade no ano;Gênero;Ano ingresso;Instituição de ensino;Pedra 20;Pedra 21;Pedra 22;Pedra 23;INDE 22;INDE 23;Ranking Geral ;Ranking na Fase;Ranking Turma;Nº Av;Avaliador1;Recomendação Av1;Avaliador2;Recomendação Av2;Avaliador3;Recomendação Av3;Avaliador4;Recomendação Av4;Auto Avaliação;Engajamento;Psicossocial;Psicopedagógico;Rec Psicologia;Indicador de Aprendizagem;Matem;Portug;Inglês;Indicado;Atingiu PV;Ponto de Virada;Adequaça o ao Ní vel;Fase ideal;Defas;Destaque IEG;Destaque IDA;Destaque IPV;Destaque IPV;Escola;Ativo/ Inativo;Ativo/ Inativo
2022;1;RA-1;7;5,8;Quartzo;A;Aluno-1;2003;19;Menina;2016;Escola Pública;Ametista;Ametista;Quartzo;;5,8;;753;18;10;4;Avaliador-5;Mantido na Fase atual;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Promovido de Fase;Avaliador-31;Mantido na Fase atual;8,3;4,1;5,6;;Requer avaliação;4,0;2,7;3,5;6,0;Sim;Não;7,3;5,0;Fase 8 (Universitários);-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;;;;
2022;2;RA-2;7;7,1;Ametista;A;Aluno-2;2005;17;Menina;2017;Rede Decisão;Ametista;Ametista;Ametista;;7,1;;469;8;3;4;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Promovido de Fase;Avaliador-31;Promovido de Fase + Bolsa;8,8;5,2;6,3;;Sem limitações;6,8;6,3;4,5;9,7;Não;Não;6,8;10;Fase 7 (3º EM);0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;;;;
2022;3;RA-3;7;6,6;Ágata;A;Aluno-3;2005;17;Menina;2016;Rede Decisão;Ametista;Ametista;Ágata;;6,6;;629;13;6;4;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Promovido de Fase + Bolsa;Avaliador-31;Promovido de Fase + Bolsa;;7,9;5,6;;Sem limitações;5,6;5,8;4,0;6,9;Não;Não;7,6;10;Fase 7 (3º EM);0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;;;;
2022;4;RA-4;7;6,0;Quartzo;A;Aluno-4;2005;17;Menino;2017;Rede Decisão;Ametista;Ametista;Quartzo;;6,0;;731;15;7;4;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-28;Mantido na Fase atual;Avaliador-31;Mantido na Fase atual;8,8;4,5;5,6;;Requer avaliação;5,0;2,8;3,5;8,7;Não;Não;5,3;10;Fase 7 (3º EM);0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;;;;
2022;5;RA-5;7;7,4;Ametista;A;Aluno-5;2005;17;Menina;2016;Rede Decisão;Ametista;Ametista;Ametista;;7,4;;344;6;2;4;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Promovido de Fase + Bolsa;Avaliador-31;Promovido de Fase + Bolsa;7,9;8,6;5,6;;Requer avaliação;5,2;7,0;2,9;5,7;Não;Não;7,4;10;Fase 7 (3º EM);0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;;;;
2022;6;RA-6;7;5,8;Quartzo;A;Aluno-6;2004;18;Menina;2021;Escola Pública;;Ágata;Quartzo;;5,8;;745;16;8;4;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Promovido de Fase + Bolsa;Avaliador-31;Mantido na Fase atual;7,9;4,5;7,5;;Sem limitações;3,3;2,3;5,3;2,3;Sim;Não;7,2;5,0;Fase 8 (Universitários);-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;;;;
2022;7;RA-7;7;6,8;Ágata;A;Aluno-7;2004;18;Menino;2017;Rede Decisão;Ametista;Ametista;Ágata;;6,8;;550;11;5;4;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Promovido de Fase + Bolsa;Avaliador-31;Mantido na Fase atual;;8,4;7,5;;Sem limitações;7,6;8,2;5,7;9,0;Não;Não;7,7;5,0;Fase 8 (Universitários);-1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;;;;
2022;8;RA-8;7;4,8;Quartzo;A;Aluno-8;2002;20;Menina;2018;Escola Pública;Quartzo;Ágata;Quartzo;;4,8;;836;21;13;4;Avaliador-5;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;Avaliador-28;Mantido na Fase atual;Avaliador-31;Mantido na Fase atual;7,1;4,6;6,3;;Requer avaliação;1,6;1,2;0,7;2,9;Não;Não;6,3;5,0;Fase 8 (Universitários);-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;;;;
2022;9;RA-9;7;8,1;Topázio;A;Aluno-9;2004;18;Menina;2019;Escola Pública;Ametista;Ametista;Topázio;;8,1;;113;1;1;4;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-28;Promovido de Fase + Bolsa;Avaliador-31;Mantido na Fase + Bolsa;8,8;9,5;7,5;;Sem limitações;6,7;5,5;6,0;8,7;Sim;Sim;9,5;5,0;Fase 8 (Universitários);-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;;;;
2022;10;RA-10;7;5,8;Quartzo;A;Aluno-10;2004;18;Menina;2021;Escola Pública;;Ágata;Quartzo;;5,8;;752;17;9;4;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-28;Mantido na Fase atual;Avaliador-31;Mantido na Fase atual;8,3;5,2;5,0;;Requer avaliação;4,1;3,3;2,6;6,4;Não;Não;7,1;5,0;Fase 8 (Universitários);-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;;;;
